[*] Detected Video Port: 57919
[*] Detected Aux Port: 54294
[0144] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=079e2bdcbfb034bff9f38ff5a3fb034b
[0145] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=7ffc451ff0a17c29ff003f5abffdff00
[0146] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=f7e968ff00867ed33fe8397bff007e96
[0147] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=5ff91e27a56bfacb6a9661b56d408332
[0148] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=003398ff00857fe12ffa1774cffbf0b4
[0149] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=47fba3f3a3db3ec16287932ffcf37ffb
[0150] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=ff00c06a3fb2344ffa020ffc06ae97fb
[0151] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=d121d174e82d239a6b8f259d964998b3
[0152] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=19f6a64459de77609fbbce31efd28039
[0153] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=cf5619c8faf068006988573e4ca76b05
[0154] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=2a96b7ff00206bff00faf793ff004135
[0155] [TS: 1773208135749881000] Client(57919) -> Proj(3621) | VIDEO DATA | len=46 | hex=009035ff00fd7bc9ff00a09abb54b5bf
[0156] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=ffd8ffe000104a464946000101000001
[0157] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=e4e7a70ac4e2a3f05f8aef35ed6750b5
[0158] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=0d56d356d2ee249edfc9b69048143fcd
[0159] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=dab898062b9c8ef91d0f3820f7a16e36
[0160] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=c32056278c658118c804126b53c7b2ea
[0161] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=ad7dff00404beffbfb0fff001747f6b5
[0162] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=0cf2453fc3afa28bdbf87479dda50e5e
[0163] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=7fc28fb3dcff00cfec9ff7ed7fc2add1
[0164] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=bfefa7a5f2a5ff00a79ffbe9eb6e8a39
[0165] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=b58c403c86251953e55619e4640071db
[0166] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=28282828282828282828282828282828
[0167] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=2f2180038fe138a5d03a9c545f11354f
[0168] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=9386f93ef1dc7e663d4823beaae84851
[0169] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=c8a5e365572848c0618c8f7e698c67da
[0170] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=cc3e605f2df95ddbb0303dbeb4d598b0
[0171] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=126b17a52d2ead6f2168d566285b0510
[0172] [TS: 1773208135752855100] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=68a3ed02a3fb141e8fff007f1bfc68fb
[0173] [TS: 1773208135752935000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=d95461bcb5e58709c76af4afb3b7a8a3
[0174] [TS: 1773208135752935000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=5a4cb617d756ad25f346ef0ccc8cca12
[0175] [TS: 1773208135752935000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=f410beff00c087ff001a7762b1dc68be
[0176] [TS: 1773208135752935000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=47fefa3fe349fd9d6bff003cbff1e3fe
[0177] [TS: 1773208135752935000] Client(57919) -> Proj(3621) | VIDEO DATA | len=725 | hex=60920119523ef1efde9345d1afecaea0
[0178] [TS: 1773208135755546700] Client(57919) -> Proj(3621) | VIDEO EPRD | len=20 | hex=4550524430363030c0a8580200000000
[0179] [TS: 1773208135755649000] Client(57919) -> Proj(3621) | VIDEO DATA | len=4 | hex=00000003
[0180] [TS: 1773208135755663700] Client(57919) -> Proj(3621) | VIDEO DATA | len=16 | hex=00000090027001100000000790f1a903
[0181] [TS: 1773208135755728500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=ffd8ffe000104a464946000101000001
[0182] [TS: 1773208135755728500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=f65479be28ff009e367f97ff0065401d
[0183] [TS: 1773208135755728500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=6ca520636eb9894f50bc7ca3d85322b0
[0184] [TS: 1773208135755728500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=d656eb7e5b24a17f3416760ad8da40f9
[0185] [TS: 1773208135755728500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=9d16957365a9a4ca649658231b028740
[0186] [TS: 1773208135755728500] Client(57919) -> Proj(3621) | VIDEO DATA | len=892 | hex=390febd7f0ac8bef095cdc4578d0dbd9
[0187] [TS: 1773208135755812200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=b6ced20b07c7f770339a587c2e91c565
[0188] [TS: 1773208135755812200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=73dbacf1cb6adb976cccaae70df7941d
[0189] [TS: 1773208135755812200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=1b0f3c73c73c12a56ea0bc82e348f104
[0190] [TS: 1773208135755812200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=84ec1bba950e3e7dbd463826b4348f11
[0191] [TS: 1773208135755812200] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=fafc82fbedd1eac5ed6de596392d8c6a
